ROTA;FILIAL_ORIGEM;FILIAL_DESTINO; R$_CAPITAL ; R$_INTERIOR ; %_CAPITAL ; %_INTERIOR ;PM
CGRVDC;CGR;VDC;R$ 4,35;R$ 4,20;0,27%;0,27%;50
CGRCGB;CGR;CGB;R$ 4,19;R$ 4,04;0,25%;0,25%;50
CGRBAU;CGR;BAU;R$ 3,34;R$ 3,36;0,27%;0,27%;50
CGRRAO;CGR;RAO;R$ 3,41;R$ 3,29;0,27%;0,27%;50
CGRCWB;CGR;CWB;R$ 3,51;R$ 3,39;0,37%;0,37%;50
CGRJOI;CGR;JOI;R$ 3,27;R$ 3,16;0,37%;0,37%;50
CGRITN;CGR;ITN;R$ 4,16;R$ 4,02;0,37%;0,37%;50
CGRSJP;CGR;SJP;R$ 3,65;R$ 3,66;0,27%;0,27%;50
CGRBNU;CGR;BNU;R$ 3,14;R$ 3,03;0,37%;0,37%;50
CGRITJ;CGR;ITJ;R$ 3,16;R$ 3,05;0,37%;0,37%;50
CGRFES;CGR;FES;R$ 3,71;R$ 3,44;0,37%;0,37%;50
CGRPPB;CGR;PPB;R$ 4,10;R$ 4,09;0,37%;0,37%;50
CGRFLN;CGR;FLN;R$ 3,48;R$ 3,36;0,37%;0,37%;50
CGRUDI;CGR;UDI;R$ 3,22;R$ 3,11;0,37%;0,37%;50
CGRMGF;CGR;MGF;R$ 3,40;R$ 3,28;0,37%;0,37%;50
CGRLAJ;CGR;LAJ;R$ 4,04;R$ 3,89;0,37%;0,37%;50
CGRSSA;CGR;SSA;R$ 4,08;R$ 3,93;0,37%;0,37%;50
CGRCCM;CGR;CCM;R$ 4,32;R$ 4,16;0,37%;0,37%;50
CGRAJU;CGR;AJU;R$ 4,59;R$ 4,28;0,45%;0,45%;50
CGRXAP;CGR;XAP;R$ 3,99;R$ 3,85;0,45%;0,45%;50
CGRCXJ;CGR;CXJ;R$ 3,30;R$ 3,18;0,45%;0,45%;50
CGRPOA;CGR;POA;R$ 3,59;R$ 3,47;0,45%;0,45%;50
CGRPNZ;CGR;PNZ;R$ 4,74;R$ 4,57;0,45%;0,45%;50
CGRBSB;CGR;BSB;R$ 4,25;R$ 4,10;0,27%;0,27%;50
CGRMCZ;CGR;MCZ;R$ 4,10;R$ 3,96;0,45%;0,45%;50
CGRCAU;CGR;CAU;R$ 5,06;R$ 4,74;0,45%;0,45%;50
CGRREC;CGR;REC;R$ 4,08;R$ 3,94;0,66%;0,66%;50
CGRJPA;CGR;JPA;R$ 3,99;R$ 3,85;0,66%;0,66%;50
CGRNAT;CGR;NAT;R$ 4,16;R$ 4,01;0,66%;0,66%;50
CGRVIX;CGR;VIX;R$ 3,31;R$ 3,19;0,37%;0,37%;50
CGRTHE;CGR;THE;R$ 4,83;R$ 4,66;0,66%;0,66%;50
CGRFOR;CGR;FOR;R$ 4,06;R$ 3,92;0,66%;0,66%;50
CGRBHZ;CGR;BHZ;R$ 3,10;R$ 3,18;0,27%;0,27%;50
CGRCAW;CGR;CAW;R$ 3,92;R$ 3,78;0,37%;0,37%;50
CGRDIV;CGR;DIV;R$ 3,52;R$ 3,40;0,25%;0,25%;50
CGRJDF;CGR;JDF;R$ 4,08;R$ 3,93;0,27%;0,27%;50
CGRIMP;CGR;IMP;R$ 4,85;R$ 4,68;0,94%;0,94%;50
CGRSLZ;CGR;SLZ;R$ 4,77;R$ 4,60;0,94%;0,94%;50
CGRRIO;CGR;RIO;R$ 3,10;R$ 3,17;0,27%;0,27%;50
CGRPMW;CGR;PMW;R$ 5,21;R$ 5,02;0,37%;0,37%;50
CGRPSA;CGR;PSA;R$ 4,10;R$ 4,10;0,27%;0,27%;50
CGRSJK;CGR;SJK;R$ 3,60;R$ 3,61;0,25%;0,25%;50
CGRCPQ;CGR;CPQ;R$ 3,32;R$ 3,35;0,25%;0,25%;50
CGRSOD;CGR;SOD;R$ 3,75;R$ 3,62;0,25%;0,25%;50
CGRLDB;CGR;LDB;R$ 3,38;R$ 3,26;0,27%;0,27%;50
CGRCAC;CGR;CAC;R$ 3,91;R$ 3,77;0,37%;0,37%;50
CGRBEL;CGR;BEL;R$ 3,46;R$ 3,34;0,94%;0,94%;50
CPQCPQ;CPQ;CPQ;R$ 0,88;R$ 1,30;0,14%;0,14%;50
CPQSAO;CPQ;SAO;R$ 1,12;R$ 1,39;0,18%;0,18%;50
CPQSSZ;CPQ;SSZ;R$ 2,55;R$ 2,71;0,18%;0,18%;50
CPQSOD;CPQ;SOD;R$ 1,14;R$ 1,37;0,14%;0,14%;50
CPQBAU;CPQ;BAU;R$ 1,64;R$ 1,86;0,18%;0,18%;50
CPQSJK;CPQ;SJK;R$ 1,50;R$ 1,70;0,18%;0,18%;50
CPQPPB;CPQ;PPB;R$ 2,73;R$ 2,89;0,18%;0,18%;50
CPQCAC;CPQ;CAC;R$ 2,12;R$ 2,30;0,25%;0,25%;50
CPQLDB;CPQ;LDB;R$ 1,81;R$ 1,97;0,25%;0,25%;50
CPQPSA;CPQ;PSA;R$ 2,54;R$ 2,74;0,25%;0,25%;50
CPQRAO;CPQ;RAO;R$ 1,06;R$ 1,28;0,18%;0,18%;50
CPQSJP;CPQ;SJP;R$ 1,67;R$ 1,87;0,18%;0,18%;50
CPQCWB;CPQ;CWB;R$ 1,07;R$ 1,28;0,18%;0,18%;50
CPQCAW;CPQ;CAW;R$ 1,77;R$ 1,96;0,18%;0,18%;50
CPQRIO;CPQ;RIO;R$ 1,33;R$ 1,53;0,18%;0,18%;50
CPQJOI;CPQ;JOI;R$ 1,48;R$ 1,68;0,25%;0,25%;50
CPQUDI;CPQ;UDI;R$ 1,16;R$ 1,35;0,25%;0,25%;50
CPQBHZ;CPQ;BHZ;R$ 1,22;R$ 1,42;0,25%;0,25%;50
CPQDIV;CPQ;DIV;R$ 1,30;R$ 1,51;0,25%;0,25%;50
CPQJDF;CPQ;JDF;R$ 1,86;R$ 2,05;0,25%;0,25%;50
CPQBNU;CPQ;BNU;R$ 1,47;R$ 1,67;0,25%;0,25%;50
CPQITJ;CPQ;ITJ;R$ 1,37;R$ 1,57;0,25%;0,25%;50
CPQMGF;CPQ;MGF;R$ 1,51;R$ 1,72;0,25%;0,25%;50
CPQFLN;CPQ;FLN;R$ 2,08;R$ 2,26;0,25%;0,25%;50
CPQLAJ;CPQ;LAJ;R$ 2,67;R$ 2,83;0,25%;0,25%;50
CPQCCM;CPQ;CCM;R$ 2,47;R$ 2,64;0,25%;0,25%;50
CPQVIX;CPQ;VIX;R$ 1,49;R$ 1,70;0,25%;0,25%;50
CPQBSB;CPQ;BSB;R$ 1,38;R$ 1,55;0,25%;0,25%;50
CPQCGB;CPQ;CGB;R$ 2,90;R$ 3,05;0,25%;0,25%;50
CPQCGR;CPQ;CGR;R$ 3,03;R$ 3,17;0,25%;0,25%;50
CPQPMW;CPQ;PMW;R$ 2,28;R$ 2,46;0,25%;0,25%;50
CPQXAP;CPQ;XAP;R$ 2,40;R$ 2,55;0,27%;0,27%;50
CPQCXJ;CPQ;CXJ;R$ 1,58;R$ 1,77;0,27%;0,27%;50
CPQPOA;CPQ;POA;R$ 1,55;R$ 1,75;0,27%;0,27%;50
CPQGYN;CPQ;GYN;R$ 1,70;R$ 1,89;0,27%;0,27%;50
CPQFES;CPQ;FES;R$ 1,21;R$ 1,40;0,37%;0,37%;50
CPQITN;CPQ;ITN;R$ 1,97;R$ 2,16;0,37%;0,37%;50
CPQVDC;CPQ;VDC;R$ 2,16;R$ 2,34;0,37%;0,37%;50
CPQSSA;CPQ;SSA;R$ 1,40;R$ 1,66;0,37%;0,37%;50
CPQAJU;CPQ;AJU;R$ 1,62;R$ 1,82;0,45%;0,45%;50
CPQPNZ;CPQ;PNZ;R$ 3,05;R$ 3,20;0,45%;0,45%;50
CPQMCZ;CPQ;MCZ;R$ 1,56;R$ 1,76;0,45%;0,45%;50
CPQCAU;CPQ;CAU;R$ 2,91;R$ 3,06;0,66%;0,66%;50
CPQJPA;CPQ;JPA;R$ 1,68;R$ 1,85;0,66%;0,66%;50
CPQREC;CPQ;REC;R$ 1,57;R$ 1,82;0,66%;0,66%;50
CPQNAT;CPQ;NAT;R$ 1,71;R$ 1,90;0,66%;0,66%;50
CPQFOR;CPQ;FOR;R$ 1,62;R$ 1,82;0,66%;0,66%;50
CPQIMP;CPQ;IMP;R$ 2,69;R$ 2,84;0,66%;0,66%;50
CPQSLZ;CPQ;SLZ;R$ 2,61;R$ 2,77;0,66%;0,66%;50
CPQTHE;CPQ;THE;R$ 2,67;R$ 2,83;0,66%;0,66%;50
CPQBEL;CPQ;BEL;R$ 1,45;R$ 1,56;0,66%;0,66%;50
CWBCWB;CWB;CWB;R$ 0,72;R$ 1,06;0,14%;0,14%;50
CWBJOI;CWB;JOI;R$ 1,32;R$ 1,49;0,18%;0,18%;50
CWBBNU;CWB;BNU;R$ 1,44;R$ 1,62;0,18%;0,18%;50
CWBITJ;CWB;ITJ;R$ 1,16;R$ 1,33;0,18%;0,18%;50
CWBFLN;CWB;FLN;R$ 1,93;R$ 2,07;0,18%;0,18%;50
CWBCAC;CWB;CAC;R$ 1,85;R$ 2,00;0,18%;0,18%;50
CWBLAJ;CWB;LAJ;R$ 2,51;R$ 2,63;0,18%;0,18%;50
CWBLDB;CWB;LDB;R$ 1,56;R$ 1,69;0,18%;0,18%;50
CWBSAO;CWB;SAO;R$ 1,20;R$ 1,41;0,18%;0,18%;50
CWBSSZ;CWB;SSZ;R$ 2,28;R$ 2,43;0,18%;0,18%;50
CWBCPQ;CWB;CPQ;R$ 1,65;R$ 1,82;0,18%;0,18%;50
CWBSJK;CWB;SJK;R$ 2,14;R$ 2,27;0,18%;0,18%;50
CWBSOD;CWB;SOD;R$ 1,71;R$ 1,88;0,18%;0,18%;50
CWBCCM;CWB;CCM;R$ 2,52;R$ 2,65;0,18%;0,18%;50
CWBMGF;CWB;MGF;R$ 1,63;R$ 1,80;0,25%;0,25%;50
CWBXAP;CWB;XAP;R$ 2,51;R$ 2,63;0,25%;0,25%;50
CWBPSA;CWB;PSA;R$ 2,99;R$ 3,10;0,25%;0,25%;50
CWBPOA;CWB;POA;R$ 2,10;R$ 2,24;0,25%;0,25%;50
CWBRAO;CWB;RAO;R$ 1,95;R$ 2,11;0,25%;0,25%;50
CWBBAU;CWB;BAU;R$ 2,22;R$ 2,37;0,25%;0,25%;50
CWBCXJ;CWB;CXJ;R$ 2,47;R$ 2,59;0,25%;0,25%;50
CWBSJP;CWB;SJP;R$ 2,82;R$ 2,92;0,25%;0,25%;50
CWBPPB;CWB;PPB;R$ 2,98;R$ 3,10;0,27%;0,27%;50
CWBRIO;CWB;RIO;R$ 1,51;R$ 1,69;0,25%;0,25%;50
CWBJDF;CWB;JDF;R$ 2,44;R$ 2,56;0,25%;0,25%;50
CWBDIV;CWB;DIV;R$ 1,88;R$ 2,02;0,25%;0,25%;50
CWBUDI;CWB;UDI;R$ 1,61;R$ 1,74;0,27%;0,27%;50
CWBBHZ;CWB;BHZ;R$ 1,48;R$ 1,66;0,27%;0,27%;50
CWBCAW;CWB;CAW;R$ 2,28;R$ 2,41;0,27%;0,27%;50
CWBVIX;CWB;VIX;R$ 1,76;R$ 1,93;0,27%;0,27%;50
CWBGYN;CWB;GYN;R$ 1,88;R$ 2,01;0,27%;0,27%;50
CWBBSB;CWB;BSB;R$ 2,08;R$ 2,22;0,37%;0,37%;50
CWBVDC;CWB;VDC;R$ 2,44;R$ 2,58;0,37%;0,37%;50
CWBITN;CWB;ITN;R$ 2,52;R$ 2,64;0,37%;0,37%;50
CWBSSA;CWB;SSA;R$ 1,84;R$ 2,00;0,45%;0,45%;50
CWBFES;CWB;FES;R$ 2,05;R$ 2,16;0,45%;0,45%;50
CWBCGR;CWB;CGR;R$ 3,07;R$ 3,17;0,45%;0,45%;50
CWBPMW;CWB;PMW;R$ 3,37;R$ 3,45;0,45%;0,45%;50
CWBCGB;CWB;CGB;R$ 3,28;R$ 3,37;0,45%;0,45%;50
CWBPNZ;CWB;PNZ;R$ 2,79;R$ 2,91;0,66%;0,66%;50
CWBAJU;CWB;AJU;R$ 2,17;R$ 2,30;0,66%;0,66%;50
CWBMCZ;CWB;MCZ;R$ 2,11;R$ 2,24;0,66%;0,66%;50
CWBIMP;CWB;IMP;R$ 3,21;R$ 3,31;0,66%;0,66%;50
CWBCAU;CWB;CAU;R$ 2,96;R$ 3,06;0,66%;0,66%;50
CWBTHE;CWB;THE;R$ 2,87;R$ 2,99;0,94%;0,94%;50
CWBREC;CWB;REC;R$ 1,71;R$ 1,89;0,94%;0,94%;50
CWBJPA;CWB;JPA;R$ 1,86;R$ 2,02;0,94%;0,94%;50
CWBNAT;CWB;NAT;R$ 2,25;R$ 2,38;0,94%;0,94%;50
CWBSLZ;CWB;SLZ;R$ 2,19;R$ 2,37;0,94%;0,94%;50
CWBFOR;CWB;FOR;R$ 2,15;R$ 2,28;0,94%;0,94%;50
CWBBEL;CWB;BEL;R$ 1,35;R$ 1,52;0,94%;0,94%;50
CXJCXJ;CXJ;CXJ;R$ 0,43;R$ 1,05;0,14%;0,14%;50
CXJPOA;CXJ;POA;R$ 0,88;R$ 1,33;0,18%;0,18%;50
CXJJOI;CXJ;JOI;R$ 1,74;R$ 2,12;0,25%;0,25%;50
CXJCWB;CXJ;CWB;R$ 1,85;R$ 2,24;0,25%;0,25%;50
CXJBNU;CXJ;BNU;R$ 1,90;R$ 2,29;0,25%;0,25%;50
CXJITJ;CXJ;ITJ;R$ 1,51;R$ 1,90;0,25%;0,25%;50
CXJFLN;CXJ;FLN;R$ 2,34;R$ 2,70;0,25%;0,25%;50
CXJSAO;CXJ;SAO;R$ 1,80;R$ 2,13;0,25%;0,25%;50
CXJSSZ;CXJ;SSZ;R$ 2,37;R$ 2,72;0,25%;0,25%;50
CXJLAJ;CXJ;LAJ;R$ 2,93;R$ 3,27;0,25%;0,25%;50
CXJCCM;CXJ;CCM;R$ 2,90;R$ 3,25;0,27%;0,27%;50
CXJSJK;CXJ;SJK;R$ 2,59;R$ 2,94;0,27%;0,27%;50
CXJSOD;CXJ;SOD;R$ 2,11;R$ 2,50;0,27%;0,27%;50
CXJCPQ;CXJ;CPQ;R$ 2,06;R$ 2,44;0,27%;0,27%;50
CXJLDB;CXJ;LDB;R$ 2,87;R$ 3,18;0,27%;0,27%;50
CXJPSA;CXJ;PSA;R$ 2,84;R$ 3,20;0,27%;0,27%;50
CXJXAP;CXJ;XAP;R$ 2,93;R$ 3,27;0,27%;0,27%;50
CXJMGF;CXJ;MGF;R$ 2,95;R$ 3,28;0,27%;0,27%;50
CXJCAC;CXJ;CAC;R$ 2,99;R$ 3,32;0,27%;0,27%;50
CXJRAO;CXJ;RAO;R$ 1,80;R$ 2,20;0,27%;0,27%;50
CXJBAU;CXJ;BAU;R$ 1,96;R$ 2,36;0,27%;0,27%;50
CXJSJP;CXJ;SJP;R$ 2,65;R$ 2,99;0,37%;0,37%;50
CXJPPB;CXJ;PPB;R$ 2,83;R$ 3,19;0,37%;0,37%;50
CXJRIO;CXJ;RIO;R$ 1,80;R$ 2,18;0,27%;0,27%;50
CXJJDF;CXJ;JDF;R$ 2,47;R$ 2,82;0,27%;0,27%;50
CXJDIV;CXJ;DIV;R$ 1,91;R$ 2,29;0,27%;0,27%;50
CXJBHZ;CXJ;BHZ;R$ 1,77;R$ 2,15;0,37%;0,37%;50
CXJUDI;CXJ;UDI;R$ 1,64;R$ 2,01;0,37%;0,37%;50
CXJCAW;CXJ;CAW;R$ 2,31;R$ 2,67;0,37%;0,37%;50
CXJVIX;CXJ;VIX;R$ 1,90;R$ 2,28;0,37%;0,37%;50
CXJGYN;CXJ;GYN;R$ 1,77;R$ 2,15;0,37%;0,37%;50
CXJBSB;CXJ;BSB;R$ 2,12;R$ 2,48;0,45%;0,45%;50
CXJVDC;CXJ;VDC;R$ 2,47;R$ 2,84;0,45%;0,45%;50
CXJITN;CXJ;ITN;R$ 2,55;R$ 2,90;0,66%;0,66%;50
CXJSSA;CXJ;SSA;R$ 2,07;R$ 2,44;0,66%;0,66%;50
CXJFES;CXJ;FES;R$ 2,10;R$ 2,42;0,66%;0,66%;50
CXJCGR;CXJ;CGR;R$ 3,10;R$ 3,43;0,66%;0,66%;50
CXJPMW;CXJ;PMW;R$ 3,40;R$ 3,71;0,66%;0,66%;50
CXJCGB;CXJ;CGB;R$ 3,85;R$ 4,15;0,66%;0,66%;50
CXJPNZ;CXJ;PNZ;R$ 3,13;R$ 3,46;0,94%;0,94%;50
CXJAJU;CXJ;AJU;R$ 2,20;R$ 2,56;0,94%;0,94%;50
CXJMCZ;CXJ;MCZ;R$ 1,93;R$ 2,32;0,94%;0,94%;50
CXJIMP;CXJ;IMP;R$ 2,43;R$ 2,83;0,94%;0,94%;50
CXJCAU;CXJ;CAU;R$ 2,99;R$ 3,32;0,94%;0,94%;50
CXJTHE;CXJ;THE;R$ 2,90;R$ 3,26;0,94%;0,94%;50
CXJREC;CXJ;REC;R$ 2,06;R$ 2,44;0,94%;0,94%;50
CXJJPA;CXJ;JPA;R$ 2,10;R$ 2,47;0,94%;0,94%;50
CXJNAT;CXJ;NAT;R$ 2,06;R$ 2,44;0,94%;0,94%;50
CXJSLZ;CXJ;SLZ;R$ 3,17;R$ 3,49;0,94%;0,94%;50
CXJFOR;CXJ;FOR;R$ 1,96;R$ 2,35;0,94%;0,94%;50
CXJBEL;CXJ;BEL;R$ 2,31;R$ 2,63;0,94%;0,94%;50
DIVDIV;DIV;DIV;R$ 0,66;R$ 1,11;0,14%;0,14%;50
DIVBHZ;DIV;BHZ;R$ 1,07;R$ 1,27;0,18%;0,18%;50
DIVRIO;DIV;RIO;R$ 1,59;R$ 1,77;0,18%;0,18%;50
DIVCAW;DIV;CAW;R$ 1,95;R$ 2,11;0,25%;0,25%;50
DIVCPQ;DIV;CPQ;R$ 1,67;R$ 1,87;0,25%;0,25%;50
DIVSJK;DIV;SJK;R$ 2,14;R$ 2,30;0,25%;0,25%;50
DIVSOD;DIV;SOD;R$ 1,76;R$ 1,96;0,25%;0,25%;50
DIVUDI;DIV;UDI;R$ 1,49;R$ 1,67;0,25%;0,25%;50
DIVJDF;DIV;JDF;R$ 2,00;R$ 2,17;0,18%;0,18%;50
DIVSAO;DIV;SAO;R$ 1,61;R$ 1,79;0,25%;0,25%;50
DIVSSZ;DIV;SSZ;R$ 2,55;R$ 2,69;0,25%;0,25%;50
DIVRAO;DIV;RAO;R$ 1,96;R$ 2,15;0,25%;0,25%;50
DIVBAU;DIV;BAU;R$ 2,23;R$ 2,41;0,25%;0,25%;50
DIVVIX;DIV;VIX;R$ 1,63;R$ 1,84;0,25%;0,25%;50
DIVSJP;DIV;SJP;R$ 2,54;R$ 2,71;0,25%;0,25%;50
DIVCWB;DIV;CWB;R$ 2,44;R$ 2,59;0,27%;0,27%;50
DIVJOI;DIV;JOI;R$ 2,21;R$ 2,36;0,27%;0,27%;50
DIVPPB;DIV;PPB;R$ 2,99;R$ 3,14;0,27%;0,27%;50
DIVITJ;DIV;ITJ;R$ 2,09;R$ 2,25;0,27%;0,27%;50
DIVBNU;DIV;BNU;R$ 2,19;R$ 2,35;0,27%;0,27%;50
DIVLDB;DIV;LDB;R$ 2,14;R$ 2,30;0,27%;0,27%;50
DIVMGF;DIV;MGF;R$ 2,30;R$ 2,45;0,27%;0,27%;50
DIVFLN;DIV;FLN;R$ 2,25;R$ 2,41;0,27%;0,27%;50
DIVLAJ;DIV;LAJ;R$ 2,80;R$ 2,94;0,27%;0,27%;50
DIVCCM;DIV;CCM;R$ 3,08;R$ 3,21;0,27%;0,27%;50
DIVCAC;DIV;CAC;R$ 2,68;R$ 2,82;0,37%;0,37%;50
DIVXAP;DIV;XAP;R$ 2,76;R$ 2,89;0,37%;0,37%;50
DIVCXJ;DIV;CXJ;R$ 2,06;R$ 2,22;0,37%;0,37%;50
DIVPOA;DIV;POA;R$ 2,36;R$ 2,51;0,37%;0,37%;50
DIVPSA;DIV;PSA;R$ 2,51;R$ 2,67;0,18%;0,18%;50
DIVGYN;DIV;GYN;R$ 1,40;R$ 1,59;0,25%;0,25%;50
DIVBSB;DIV;BSB;R$ 1,55;R$ 1,73;0,27%;0,27%;50
DIVFES;DIV;FES;R$ 1,26;R$ 1,46;0,27%;0,27%;50
DIVITN;DIV;ITN;R$ 1,91;R$ 2,07;0,27%;0,27%;50
DIVVDC;DIV;VDC;R$ 2,10;R$ 2,26;0,27%;0,27%;50
DIVSSA;DIV;SSA;R$ 1,72;R$ 1,90;0,27%;0,27%;50
DIVAJU;DIV;AJU;R$ 1,55;R$ 1,73;0,37%;0,37%;50
DIVPNZ;DIV;PNZ;R$ 2,64;R$ 2,78;0,37%;0,37%;50
DIVCGR;DIV;CGR;R$ 3,27;R$ 3,38;0,37%;0,37%;50
DIVPMW;DIV;PMW;R$ 2,83;R$ 2,96;0,37%;0,37%;50
DIVCGB;DIV;CGB;R$ 3,49;R$ 3,59;0,37%;0,37%;50
DIVMCZ;DIV;MCZ;R$ 1,74;R$ 1,92;0,37%;0,37%;50
DIVCAU;DIV;CAU;R$ 2,50;R$ 2,64;0,37%;0,37%;50
DIVREC;DIV;REC;R$ 1,42;R$ 1,65;0,45%;0,45%;50
DIVJPA;DIV;JPA;R$ 1,75;R$ 1,93;0,45%;0,45%;50
DIVNAT;DIV;NAT;R$ 1,64;R$ 1,82;0,45%;0,45%;50
DIVTHE;DIV;THE;R$ 2,73;R$ 2,87;0,45%;0,45%;50
DIVFOR;DIV;FOR;R$ 1,83;R$ 2,00;0,45%;0,45%;50
DIVIMP;DIV;IMP;R$ 3,00;R$ 3,13;0,66%;0,66%;50
DIVSLZ;DIV;SLZ;R$ 2,67;R$ 2,81;0,66%;0,66%;50
DIVBEL;DIV;BEL;R$ 1,56;R$ 1,74;0,94%;0,94%;50
FESFES;FES;FES;R$ 0,62;R$ 1,21;0,14%;0,14%;50
FESSSA;FES;SSA;R$ 1,42;R$ 1,90;0,18%;0,18%;50
FESITN;FES;ITN;R$ 1,61;R$ 2,08;0,25%;0,25%;50
FESVDC;FES;VDC;R$ 1,91;R$ 2,37;0,25%;0,25%;50
FESVIX;FES;VIX;R$ 1,42;R$ 1,90;0,27%;0,27%;50
FESBHZ;FES;BHZ;R$ 1,88;R$ 2,35;0,27%;0,27%;50
FESDIV;FES;DIV;R$ 2,01;R$ 2,47;0,27%;0,27%;50
FESJDF;FES;JDF;R$ 2,40;R$ 2,85;0,27%;0,27%;50
FESPSA;FES;PSA;R$ 2,30;R$ 2,75;0,27%;0,27%;50
FESBSB;FES;BSB;R$ 2,13;R$ 2,59;0,27%;0,27%;50
FESCGB;FES;CGB;R$ 4,91;R$ 5,26;0,27%;0,27%;50
FESCGR;FES;CGR;R$ 4,33;R$ 4,71;0,27%;0,27%;50
FESPMW;FES;PMW;R$ 2,86;R$ 3,29;0,27%;0,27%;50
FESGYN;FES;GYN;R$ 1,96;R$ 2,42;0,37%;0,37%;50
FESCAW;FES;CAW;R$ 2,60;R$ 3,04;0,37%;0,37%;50
FESRIO;FES;RIO;R$ 2,04;R$ 2,50;0,37%;0,37%;50
FESCPQ;FES;CPQ;R$ 2,14;R$ 2,60;0,37%;0,37%;50
FESSJK;FES;SJK;R$ 2,43;R$ 2,88;0,37%;0,37%;50
FESSOD;FES;SOD;R$ 2,26;R$ 2,72;0,37%;0,37%;50
FESSAO;FES;SAO;R$ 2,00;R$ 2,46;0,37%;0,37%;50
FESSSZ;FES;SSZ;R$ 2,84;R$ 3,27;0,37%;0,37%;50
FESBAU;FES;BAU;R$ 2,77;R$ 3,21;0,45%;0,45%;50
FESRAO;FES;RAO;R$ 2,47;R$ 2,92;0,45%;0,45%;50
FESCWB;FES;CWB;R$ 2,75;R$ 3,18;0,45%;0,45%;50
FESJOI;FES;JOI;R$ 2,49;R$ 2,94;0,45%;0,45%;50
FESSJP;FES;SJP;R$ 2,81;R$ 3,25;0,45%;0,45%;50
FESITJ;FES;ITJ;R$ 2,37;R$ 2,82;0,45%;0,45%;50
FESBNU;FES;BNU;R$ 2,52;R$ 2,96;0,45%;0,45%;50
FESLDB;FES;LDB;R$ 2,61;R$ 3,05;0,45%;0,45%;50
FESFLN;FES;FLN;R$ 2,72;R$ 3,16;0,45%;0,45%;50
FESPPB;FES;PPB;R$ 3,26;R$ 3,68;0,45%;0,45%;50
FESUDI;FES;UDI;R$ 2,83;R$ 3,27;0,37%;0,37%;50
FESMGF;FES;MGF;R$ 2,63;R$ 3,07;0,45%;0,45%;50
FESBEL;FES;BEL;R$ 2,33;R$ 2,78;0,66%;0,66%;50
FESLAJ;FES;LAJ;R$ 3,10;R$ 3,52;0,66%;0,66%;50
FESCCM;FES;CCM;R$ 3,38;R$ 3,79;0,66%;0,66%;50
FESCAC;FES;CAC;R$ 2,97;R$ 3,40;0,66%;0,66%;50
FESXAP;FES;XAP;R$ 3,06;R$ 3,48;0,66%;0,66%;50
FESCXJ;FES;CXJ;R$ 2,77;R$ 3,20;0,66%;0,66%;50
FESPOA;FES;POA;R$ 2,66;R$ 3,10;0,66%;0,66%;50
FESAJU;FES;AJU;R$ 0,83;R$ 1,34;0,18%;0,18%;50
FESMCZ;FES;MCZ;R$ 0,78;R$ 1,29;0,25%;0,25%;50
FESCAU;FES;CAU;R$ 1,78;R$ 2,26;0,25%;0,25%;50
FESPNZ;FES;PNZ;R$ 1,92;R$ 2,39;0,25%;0,25%;50
FESREC;FES;REC;R$ 1,10;R$ 1,59;0,25%;0,25%;50
FESJPA;FES;JPA;R$ 0,81;R$ 1,32;0,25%;0,25%;50
FESNAT;FES;NAT;R$ 0,92;R$ 1,43;0,27%;0,27%;50
FESFOR;FES;FOR;R$ 0,97;R$ 1,48;0,27%;0,27%;50
FESIMP;FES;IMP;R$ 2,04;R$ 2,50;0,37%;0,37%;50
FESSLZ;FES;SLZ;R$ 1,96;R$ 2,42;0,27%;0,27%;50
FESTHE;FES;THE;R$ 2,02;R$ 2,48;0,27%;0,27%;50
FLNFLN;FLN;FLN;R$ 0,64;R$ 1,23;0,14%;0,14%;50
FLNITJ;FLN;ITJ;R$ 1,15;R$ 1,61;0,18%;0,18%;50
FLNJOI;FLN;JOI;R$ 1,16;R$ 1,64;0,18%;0,18%;50
FLNBNU;FLN;BNU;R$ 1,21;R$ 1,68;0,18%;0,18%;50
FLNCWB;FLN;CWB;R$ 1,50;R$ 1,95;0,18%;0,18%;50
FLNCCM;FLN;CCM;R$ 1,52;R$ 1,98;0,18%;0,18%;50
FLNLAJ;FLN;LAJ;R$ 1,39;R$ 1,85;0,18%;0,18%;50
FLNSOD;FLN;SOD;R$ 2,12;R$ 2,56;0,25%;0,25%;50
FLNSSZ;FLN;SSZ;R$ 2,14;R$ 2,58;0,25%;0,25%;50
FLNSAO;FLN;SAO;R$ 1,09;R$ 1,58;0,25%;0,25%;50
FLNLDB;FLN;LDB;R$ 2,23;R$ 2,64;0,25%;0,25%;50
FLNCPQ;FLN;CPQ;R$ 2,07;R$ 2,51;0,25%;0,25%;50
FLNSJK;FLN;SJK;R$ 2,60;R$ 3,01;0,25%;0,25%;50
FLNPOA;FLN;POA;R$ 1,86;R$ 2,31;0,25%;0,25%;50
FLNMGF;FLN;MGF;R$ 2,03;R$ 2,48;0,25%;0,25%;50
FLNCAC;FLN;CAC;R$ 2,44;R$ 2,85;0,25%;0,25%;50
FLNPSA;FLN;PSA;R$ 2,85;R$ 3,26;0,25%;0,25%;50
FLNCXJ;FLN;CXJ;R$ 2,43;R$ 2,85;0,25%;0,25%;50
FLNRAO;FLN;RAO;R$ 1,94;R$ 2,38;0,25%;0,25%;50
FLNBAU;FLN;BAU;R$ 1,97;R$ 2,42;0,25%;0,25%;50
